Land,Jahr,Platzierung,Punkte,Genre,Startposition,Sprache,Heimvorteil
Belgium,1987,11,56.0,Rock,5,Mixed,1
Sweden,1987,12,50.0,Rock,6,Swedish,0
Italy,1987,3,103.0,Pop,7,Italian,0
Portugal,1987,18,15.0,Folk/Ethnic,8,Portuguese,0
Spain,1987,19,10.0,Pop,9,Spanish,0
Turkey,1987,22,0.0,Dance-Pop,10,Turkish,0
Greece,1987,10,64.0,Rock,11,Greek,0
Netherlands,1987,5,83.0,Rock,12,Dutch,0
Luxembourg,1987,21,4.0,Pop,13,French,0
United Kingdom,1987,13,47.0,Ballad,14,English,0
France,1987,14,44.0,Pop,15,French,0
Germany,1987,2,141.0,Pop,16,German,0
Cyprus,1987,7,80.0,Pop,17,Greek,0
Finland,1987,15,32.0,Pop,18,Finnish,0
Denmark,1987,5,83.0,Pop,19,Danish,0
Ireland,1987,1,172.0,Ballad,20,English,0
Yugoslavia,1987,4,92.0,Dance-Pop,21,Serbo-Croatian,0
Switzerland,1987,17,26.0,Rap/Hip-Hop,22,Mixed,0
Iceland,1988,16,20.0,Dance-Pop,1,Icelandic,0
Sweden,1988,12,52.0,Pop,2,Swedish,0
Finland,1988,20,3.0,Pop,3,Finnish,0
United Kingdom,1988,2,136.0,Ballad,4,English,0
Turkey,1988,15,37.0,Dance-Pop,5,Turkish,0
Spain,1988,11,58.0,Pop,6,Spanish,0
Netherlands,1988,9,70.0,Pop,7,Dutch,0
Israel,1988,7,85.0,Pop,8,Hebrew,0
Switzerland,1988,1,137.0,Pop,9,Mixed,0
Ireland,1988,8,79.0,Ballad,10,English,1
Germany,1988,14,48.0,Pop,11,German,0
Austria,1988,21,0.0,Pop,12,German,0
Denmark,1988,3,92.0,Pop,13,Danish,0
Greece,1988,17,10.0,Pop,14,Greek,0
Norway,1988,5,88.0,Pop,15,Norwegian,0
Belgium,1988,18,5.0,Pop,16,Mixed,0
Luxembourg,1988,4,90.0,Pop,17,French,0
Italy,1988,12,52.0,Pop,18,Italian,0
France,1988,10,64.0,Pop,19,French,0
Portugal,1988,18,5.0,Pop,20,Portuguese,0
Yugoslavia,1988,6,87.0,Pop,21,Serbo-Croatian,0
Italy,1989,9,56.0,Pop,1,Italian,0
Israel,1989,12,50.0,Pop,2,Hebrew,0
Ireland,1989,18,21.0,Dance-Pop,3,English,0
Netherlands,1989,15,45.0,Pop,4,Dutch,0
Turkey,1989,21,5.0,Pop,5,Turkish,0
Belgium,1989,19,13.0,Rock,6,Mixed,0
United Kingdom,1989,2,130.0,Ballad,7,English,0
Norway,1989,17,30.0,Pop,8,Norwegian,0
Portugal,1989,16,39.0,Rock,9,Portuguese,0
Sweden,1989,4,110.0,Pop,10,Swedish,0
Luxembourg,1989,20,8.0,Pop,11,French,0
Denmark,1989,3,111.0,Pop,12,Danish,0
Austria,1989,5,97.0,Pop,13,German,0
Finland,1989,7,76.0,Pop,14,Finnish,0
France,1989,8,60.0,Pop,15,French,0
Spain,1989,6,88.0,Pop,16,Spanish,0
Cyprus,1989,11,51.0,Pop,17,Greek,0
Switzerland,1989,13,47.0,Rock,18,Mixed,1
Greece,1989,9,56.0,Pop,19,Greek,0
Iceland,1989,22,0.0,Pop,20,Icelandic,0
Germany,1989,14,46.0,Ballad,21,German,0
Yugoslavia,1989,1,137.0,Rock,22,Serbo-Croatian,0
Spain,1990,5,96.0,Rock,1,Spanish,0
Greece,1990,19,11.0,Pop,2,Greek,0
Belgium,1990,12,46.0,Pop,3,Mixed,0
Turkey,1990,17,21.0,Dance-Pop,4,Turkish,0
Netherlands,1990,15,25.0,Rock,5,Dutch,0
Luxembourg,1990,13,38.0,Pop,6,French,0
United Kingdom,1990,6,87.0,Ballad,7,English,0
Iceland,1990,4,124.0,Pop,8,Icelandic,0
Norway,1990,21,8.0,Folk/Ethnic,9,Norwegian,0
Israel,1990,18,16.0,Dance-Pop,10,Hebrew,0
Denmark,1990,8,64.0,Rap/Hip-Hop,11,Danish,0
Switzerland,1990,11,51.0,Pop,12,Mixed,0
Germany,1990,9,60.0,Pop,13,German,0
France,1990,2,132.0,Pop,14,French,0
Yugoslavia,1990,7,81.0,Pop,15,Serbo-Croatian,1
Portugal,1990,20,9.0,Pop,16,Portuguese,0
Ireland,1990,2,132.0,Pop,17,English,0
Sweden,1990,16,24.0,Pop,18,Swedish,0
Italy,1990,1,149.0,Rock,19,Italian,0
Austria,1990,10,58.0,Pop,20,German,0
Cyprus,1990,14,36.0,Pop,21,Greek,0
Finland,1990,21,8.0,Dance-Pop,22,Finnish,0
Yugoslavia,1991,21,1.0,Dance-Pop,1,Serbo-Croatian,0
Iceland,1991,15,26.0,Pop,2,Icelandic,0
Malta,1991,6,106.0,Ballad,3,English,0
Greece,1991,13,36.0,Pop,4,Greek,0
Switzerland,1991,5,118.0,Pop,5,Mixed,0
Austria,1991,22,0.0,Pop,6,German,0
Luxembourg,1991,14,29.0,Pop,7,French,0
Sweden,1991,1,146.0,Rock,8,Swedish,0
France,1991,2,146.0,Pop,9,French,0
Turkey,1991,12,44.0,Pop,10,Turkish,0
Ireland,1991,10,47.0,Ballad,11,English,0
Portugal,1991,8,62.0,Rock,12,Portuguese,0
Denmark,1991,19,8.0,Pop,13,Danish,0
Norway,1991,17,14.0,Pop,14,Norwegian,0
Israel,1991,3,139.0,Pop,15,Hebrew,0
Finland,1991,20,6.0,Pop,16,Finnish,0
Germany,1991,18,10.0,Pop,17,German,0
Belgium,1991,16,23.0,Pop,18,Mixed,0
Spain,1991,4,119.0,Pop,19,Spanish,0
United Kingdom,1991,10,47.0,Ballad,20,English,0
Cyprus,1991,9,60.0,Pop,21,Greek,0
Italy,1991,7,89.0,Pop,22,Italian,1
Spain,1992,14,37.0,Pop,1,Spanish,0
Belgium,1992,20,11.0,Rap/Hip-Hop,2,Mixed,0
Israel,1992,6,85.0,Pop,3,Hebrew,0
Turkey,1992,19,17.0,Pop,4,Turkish,0
Greece,1992,5,94.0,Pop,5,Greek,0
France,1992,8,73.0,Pop,6,French,0
Sweden,1992,22,9.0,Pop,7,Swedish,1
Portugal,1992,17,26.0,Pop,8,Portuguese,0
Cyprus,1992,11,57.0,Pop,9,Greek,0
Malta,1992,3,123.0,Ballad,10,English,0
Iceland,1992,7,80.0,Ballad,11,Icelandic,0
Finland,1992,23,4.0,Pop,12,Finnish,0
Switzerland,1992,15,32.0,Pop,13,Mixed,0
Luxembourg,1992,21,10.0,Pop,14,French,0
Austria,1992,10,63.0,Pop,15,German,0
United Kingdom,1992,2,139.0,Ballad,16,English,0
Ireland,1992,1,155.0,Dance-Pop,17,English,0
Denmark,1992,12,47.0,Pop,18,Danish,0
Italy,1992,4,111.0,Rap/Hip-Hop,19,Italian,0
Yugoslavia,1992,13,44.0,Pop,20,Serbo-Croatian,0
Norway,1992,18,23.0,Folk/Ethnic,21,Norwegian,0
Germany,1992,16,27.0,Pop,22,German,0
Netherlands,1992,9,67.0,Pop,23,Dutch,0
Italy,1993,12,45.0,Pop,1,Italian,0
Turkey,1993,21,10.0,Pop,2,Turkish,0
Germany,1993,18,18.0,Pop,3,German,0
Switzerland,1993,3,148.0,Rock,4,Mixed,0
Denmark,1993,22,9.0,Rock,5,Danish,0
Greece,1993,9,64.0,Pop,6,Greek,0
Belgium,1993,25,3.0,Pop,7,Mixed,0
Malta,1993,8,69.0,Ballad,8,English,0
Iceland,1993,13,42.0,Pop,9,Icelandic,0
Austria,1993,14,32.0,Pop,10,German,0
Portugal,1993,10,60.0,Pop,11,Portuguese,0
France,1993,4,121.0,Pop,12,French,0
Sweden,1993,7,89.0,Pop,13,Swedish,0
Ireland,1993,1,187.0,Ballad,14,English,1
Luxembourg,1993,20,11.0,Pop,15,French,0
Slovenia,1993,22,9.0,Rock,16,Slovene,0
Finland,1993,17,20.0,Pop,17,Finnish,0
Bosnia & Herzegovina,1993,16,27.0,Pop,18,Bosnian,0
United Kingdom,1993,2,164.0,Ballad,19,English,0
Netherlands,1993,6,92.0,Rock,20,Dutch,0
Croatia,1993,15,31.0,Ballad,21,Croatian,0
Spain,1993,11,58.0,Pop,22,Spanish,0
Cyprus,1993,19,17.0,Pop,23,Greek,0
Israel,1993,24,4.0,Ballad,24,Hebrew,0
Norway,1993,5,120.0,Pop,25,Norwegian,0
Sweden,1994,13,48.0,Pop,1,Swedish,0
Finland,1994,22,11.0,Ballad,2,Finnish,0
Ireland,1994,1,226.0,Rock,3,English,1
Cyprus,1994,11,51.0,Pop,4,Greek,0
Iceland,1994,12,49.0,Pop,5,Icelandic,0
United Kingdom,1994,10,63.0,Dance-Pop,6,English,0
Croatia,1994,16,27.0,Pop,7,Croatian,0
Portugal,1994,8,73.0,Pop,8,Portuguese,0
Switzerland,1994,19,15.0,Pop,9,Mixed,0
Estonia,1994,24,2.0,Pop,10,Estonian,0
Romania,1994,21,14.0,Pop,11,Romanian,0
Malta,1994,5,97.0,Ballad,12,English,0
Netherlands,1994,23,4.0,Pop,13,Dutch,0
Germany,1994,3,128.0,Rock,14,German,0
Slovakia,1994,19,15.0,Pop,15,Slovak,0
Lithuania,1994,25,0.0,Pop,16,Lithuanian,0
Norway,1994,6,76.0,Pop,17,Norwegian,0
Bosnia & Herzegovina,1994,15,39.0,Dance-Pop,18,Bosnian,0
Greece,1994,14,44.0,Ballad,19,Greek,0
Austria,1994,17,19.0,Pop,20,German,0
Spain,1994,18,17.0,Pop,21,Spanish,0
Hungary,1994,4,122.0,Dance-Pop,22,Hungarian,0
Russia,1994,9,70.0,Dance-Pop,23,Russian,0
Poland,1994,2,166.0,Pop,24,Polish,0
France,1994,7,74.0,Pop,25,French,0
Poland,1995,18,15.0,Pop,1,Polish,0
Ireland,1995,14,44.0,Dance-Pop,2,English,1
Germany,1995,23,1.0,Pop,3,German,0
Bosnia & Herzegovina,1995,19,14.0,Dance-Pop,4,Bosnian,0
Norway,1995,1,148.0,Pop,5,Norwegian,0
Russia,1995,17,17.0,Dance-Pop,6,Russian,0
Iceland,1995,15,31.0,Dance-Pop,7,Icelandic,0
Austria,1995,13,67.0,Pop,8,German,0
Spain,1995,2,119.0,Pop,9,Spanish,0
Turkey,1995,16,21.0,Pop,10,Turkish,0
Croatia,1995,6,91.0,Pop,11,Croatian,0
France,1995,4,94.0,Pop,12,French,0
Hungary,1995,22,3.0,Pop,13,Hungarian,0
Belgium,1995,20,8.0,Pop,14,Mixed,0
United Kingdom,1995,10,76.0,Rock,15,English,0
Portugal,1995,21,5.0,Rock,16,Portuguese,0
Cyprus,1995,9,79.0,Pop,17,Greek,0
Sweden,1995,3,100.0,Rock,18,Swedish,0
Denmark,1995,5,92.0,Pop,19,Danish,0
Slovenia,1995,7,84.0,Pop,20,Slovene,0
Israel,1995,8,81.0,Pop,21,Hebrew,0
Malta,1995,10,76.0,Rock,22,English,0
Greece,1995,12,68.0,Rap/Hip-Hop,23,Greek,0
Turkey,1996,12,57.0,Pop,1,Turkish,0
United Kingdom,1996,8,77.0,Ballad,2,English,0
Spain,1996,20,17.0,Pop,3,Spanish,0
Portugal,1996,6,92.0,Rap/Hip-Hop,4,Portuguese,0
Cyprus,1996,9,72.0,Pop,5,Greek,0
Malta,1996,10,68.0,Dance-Pop,6,English,0
Croatia,1996,4,98.0,Dance-Pop,7,Croatian,0
Austria,1996,10,68.0,Rock,8,German,0
Switzerland,1996,16,22.0,Pop,9,Mixed,0
Greece,1996,14,36.0,Pop,10,Greek,0
Estonia,1996,5,94.0,Pop,11,Estonian,0
Norway,1996,2,114.0,Pop,12,Norwegian,1
France,1996,19,18.0,Pop,13,French,0
Slovenia,1996,21,16.0,Pop,14,Slovene,0
Netherlands,1996,7,78.0,Pop,15,Dutch,0
Belgium,1996,16,22.0,Rock,16,Mixed,0
Ireland,1996,1,162.0,Dance-Pop,17,English,0
Finland,1996,23,9.0,Pop,18,Finnish,0
Iceland,1996,13,51.0,Ballad,19,Icelandic,0
Poland,1996,15,31.0,Pop,20,Polish,0
Bosnia & Herzegovina,1996,22,13.0,Pop,21,Bosnian,0
Slovakia,1996,18,19.0,Pop,22,Slovak,0
Sweden,1996,3,100.0,Pop,23,Swedish,0
Cyprus,1997,5,98.0,Pop,1,Greek,0
Turkey,1997,3,121.0,Pop,2,Turkish,0
Norway,1997,24,0.0,Dance-Pop,3,Norwegian,0
Austria,1997,21,12.0,Pop,4,German,0
Ireland,1997,2,157.0,Rock,5,English,1
Slovenia,1997,10,60.0,Pop,6,Slovene,0
Switzerland,1997,22,5.0,Pop,7,Mixed,0
Netherlands,1997,22,5.0,Pop,8,Dutch,0
Italy,1997,4,114.0,Pop,9,Italian,0
Spain,1997,6,96.0,Pop,10,Spanish,0
Germany,1997,18,22.0,Pop,11,German,0
Poland,1997,11,54.0,Pop,12,Polish,0
Estonia,1997,8,82.0,Pop,13,Estonian,0
Bosnia & Herzegovina,1997,18,22.0,Ballad,14,Bosnian,0
Portugal,1997,24,0.0,Rock,15,Portuguese,0
Sweden,1997,14,36.0,Pop,16,Swedish,0
Greece,1997,12,39.0,Pop,17,Greek,0
Malta,1997,9,66.0,Ballad,18,English,0
Hungary,1997,12,39.0,Dance-Pop,19,Hungarian,0
Russia,1997,15,33.0,Dance-Pop,20,Russian,0
Denmark,1997,16,25.0,Folk/Ethnic,21,Danish,0
France,1997,7,95.0,Pop,22,French,0
Croatia,1997,17,24.0,Pop,23,Croatian,0
United Kingdom,1997,1,227.0,Ballad,24,English,0
Iceland,1997,20,18.0,Pop,25,Icelandic,0
Croatia,1998,5,131.0,Pop,1,Croatian,0
Greece,1998,20,12.0,Pop,2,Greek,0
France,1998,24,3.0,Dance-Pop,3,French,0
Spain,1998,16,21.0,Pop,4,Spanish,0
Switzerland,1998,25,0.0,Pop,5,Mixed,0
Slovakia,1998,21,8.0,Pop,6,Slovak,0
Poland,1998,17,19.0,Pop,7,Polish,0
Israel,1998,1,172.0,Pop,8,Hebrew,0
Germany,1998,7,86.0,Pop,9,German,0
Malta,1998,3,165.0,Ballad,10,English,0
Hungary,1998,23,4.0,Pop,11,Hungarian,0
Slovenia,1998,18,17.0,Pop,12,Slovene,0
Ireland,1998,9,64.0,Ballad,13,English,0
Portugal,1998,12,36.0,Folk/Ethnic,14,Portuguese,0
Romania,1998,22,6.0,Pop,15,Romanian,0
United Kingdom,1998,2,166.0,Rock,16,English,1
Cyprus,1998,11,37.0,Pop,17,Greek,0
Netherlands,1998,4,150.0,Rock,18,Dutch,0
Sweden,1998,10,53.0,Rock,19,Swedish,0
Belgium,1998,6,122.0,Pop,20,Mixed,0
Finland,1998,15,22.0,Pop,21,Finnish,0
Norway,1998,8,79.0,Pop,22,Norwegian,0
Estonia,1998,12,36.0,Pop,23,Estonian,0
Turkey,1998,14,25.0,Pop,24,Turkish,0
North Macedonia,1998,19,16.0,Pop,25,Macedonian,0
Lithuania,1999,20,13.0,Pop,1,Lithuanian,0
Belgium,1999,12,38.0,Rock,2,Mixed,0
Spain,1999,23,1.0,Pop,3,Spanish,0
Croatia,1999,4,118.0,Pop,4,Croatian,0
United Kingdom,1999,12,38.0,Rock,5,English,0
Slovenia,1999,11,50.0,Dance-Pop,6,Slovene,0
Turkey,1999,16,21.0,Pop,7,Turkish,0
Norway,1999,14,35.0,Ballad,8,Norwegian,0
Denmark,1999,8,71.0,Rock,9,Danish,0
France,1999,19,14.0,Pop,10,French,0
Netherlands,1999,8,71.0,Ballad,11,Dutch,0
Poland,1999,18,17.0,Pop,12,Polish,0
Iceland,1999,2,146.0,Ballad,13,Icelandic,0
Cyprus,1999,22,2.0,Ballad,14,Greek,0
Sweden,1999,1,163.0,Dance-Pop,15,Swedish,0
Portugal,1999,21,12.0,Rock,16,Portuguese,0
Ireland,1999,17,18.0,Ballad,17,English,0
Austria,1999,10,65.0,Rap/Hip-Hop,18,German,0
Israel,1999,5,93.0,Rock,19,Hebrew,1
Malta,1999,15,32.0,Ballad,20,English,0
Germany,1999,3,140.0,Ballad,21,German,0
Bosnia & Herzegovina,1999,7,86.0,Dance-Pop,22,Bosnian,0
Estonia,1999,6,90.0,Rock,23,Estonian,0
Israel,2000,22,7.0,Pop,1,Hebrew,0
Netherlands,2000,13,40.0,Ballad,2,Dutch,0
United Kingdom,2000,16,28.0,Ballad,3,English,0
Estonia,2000,4,98.0,Ballad,4,Estonian,0
France,2000,23,5.0,Pop,5,French,0
Romania,2000,17,25.0,Ballad,6,Romanian,0
Malta,2000,8,73.0,Rock,7,English,0
Norway,2000,11,57.0,Dance-Pop,8,Norwegian,0
Russia,2000,2,155.0,Ballad,9,Russian,0
Belgium,2000,24,2.0,Pop,10,Mixed,0
Cyprus,2000,21,8.0,Pop,11,Greek,0
Iceland,2000,12,45.0,Ballad,12,Icelandic,0
Spain,2000,18,18.0,Pop,13,Spanish,0
Denmark,2000,1,195.0,Ballad,14,Danish,0
Germany,2000,5,96.0,Pop,15,German,0
Switzerland,2000,20,14.0,Pop,16,Mixed,0
Croatia,2000,9,70.0,Pop,17,Croatian,0
Sweden,2000,7,88.0,Rock,18,Swedish,1
North Macedonia,2000,15,29.0,Dance-Pop,19,Macedonian,0
Finland,2000,18,18.0,Ballad,20,Finnish,0
Latvia,2000,3,136.0,Rock,21,Latvian,0
Turkey,2000,10,59.0,Rock,22,Turkish,0
Ireland,2000,6,92.0,Ballad,23,English,0
Austria,2000,14,34.0,Rap/Hip-Hop,24,German,0
Netherlands,2001,18,16.0,Ballad,1,Dutch,0
Iceland,2001,22,3.0,Ballad,2,Icelandic,0
Bosnia & Herzegovina,2001,14,29.0,Ballad,3,Bosnian,0
Norway,2001,22,3.0,Ballad,4,Norwegian,0
Israel,2001,16,25.0,Dance-Pop,5,Hebrew,0
Russia,2001,12,37.0,Dance-Pop,6,Russian,0
Sweden,2001,5,100.0,Dance-Pop,7,Swedish,0
Lithuania,2001,13,35.0,Pop,8,Lithuanian,0
Latvia,2001,18,16.0,Ballad,9,Latvian,0
Croatia,2001,10,42.0,Ballad,10,Croatian,0
Portugal,2001,17,18.0,Pop,11,Portuguese,0
Ireland,2001,21,6.0,Ballad,12,English,0
Spain,2001,6,76.0,Pop,13,Spanish,0
France,2001,4,142.0,Ballad,14,French,0
Turkey,2001,11,41.0,Ballad,15,Turkish,0
United Kingdom,2001,15,28.0,Dance-Pop,16,English,0
Slovenia,2001,7,70.0,Rap/Hip-Hop,17,Slovene,0
Poland,2001,20,11.0,Ballad,18,Polish,0
Germany,2001,8,66.0,Ballad,19,German,0
Estonia,2001,1,198.0,Dance-Pop,20,Estonian,0
Malta,2001,9,48.0,Rock,21,English,0
Greece,2001,3,147.0,Ballad,22,Greek,0
Denmark,2001,2,177.0,Ballad,23,Danish,1
Cyprus,2002,6,85.0,Ballad,1,Greek,0
United Kingdom,2002,3,111.0,Ballad,2,English,0
Austria,2002,18,26.0,Ballad,3,German,0
Greece,2002,17,27.0,Ballad,4,Greek,0
Spain,2002,7,81.0,Pop,5,Spanish,0
Croatia,2002,11,44.0,Ballad,6,Croatian,0
Russia,2002,10,55.0,Ballad,7,Russian,0
Estonia,2002,3,111.0,Rock,8,Estonian,1
North Macedonia,2002,19,25.0,Pop,9,Macedonian,0
Israel,2002,12,37.0,Ballad,10,Hebrew,0
Switzerland,2002,22,15.0,Pop,11,Mixed,0
Sweden,2002,8,72.0,Dance-Pop,12,Swedish,0
Finland,2002,20,24.0,Rock,13,Finnish,0
Denmark,2002,24,7.0,Ballad,14,Danish,0
Bosnia & Herzegovina,2002,13,33.0,Rap/Hip-Hop,15,Bosnian,0
Belgium,2002,13,33.0,Rock,16,Mixed,0
France,2002,5,104.0,Pop,17,French,0
Germany,2002,21,17.0,Dance-Pop,18,German,0
Turkey,2002,16,29.0,Rock,19,Turkish,0
Malta,2002,2,164.0,Ballad,20,English,0
Romania,2002,9,71.0,Ballad,21,Romanian,0
Slovenia,2002,13,33.0,Pop,22,Slovene,0
Latvia,2002,1,176.0,Ballad,23,Latvian,0
Lithuania,2002,23,12.0,Ballad,24,Lithuanian,0
Iceland,2003,8,81.0,Dance-Pop,1,Icelandic,0
Austria,2003,6,101.0,Pop,2,German,0
Ireland,2003,11,53.0,Ballad,3,English,0
Turkey,2003,1,167.0,Ballad,4,Turkish,0
Malta,2003,25,4.0,Ballad,5,English,0
Bosnia & Herzegovina,2003,16,27.0,Ballad,6,Bosnian,0
Portugal,2003,22,13.0,Ballad,7,Portuguese,0
Croatia,2003,15,29.0,Ballad,8,Croatian,0
Cyprus,2003,20,15.0,Ballad,9,Greek,0
Germany,2003,11,53.0,Rock,10,German,0
Russia,2003,3,164.0,Dance-Pop,11,Russian,0
Spain,2003,8,81.0,Pop,12,Spanish,0
Israel,2003,19,17.0,Ballad,13,Hebrew,0
Netherlands,2003,13,45.0,Rock,14,Dutch,0
United Kingdom,2003,26,0.0,Ballad,15,English,0
Ukraine,2003,14,30.0,Ballad,16,Ukrainian,0
Greece,2003,17,25.0,Rock,17,Greek,0
Norway,2003,4,123.0,Dance-Pop,18,Norwegian,0
France,2003,18,19.0,Dance-Pop,19,French,0
Poland,2003,7,90.0,Pop,20,Polish,0
Latvia,2003,24,5.0,Ballad,21,Latvian,1
Belgium,2003,2,165.0,Pop,22,Mixed,0
Estonia,2003,21,14.0,Dance-Pop,23,Estonian,0
Romania,2003,10,73.0,Ballad,24,Romanian,0
Sweden,2003,5,107.0,Ballad,25,Swedish,0
Slovenia,2003,23,7.0,Rock,26,Slovene,0
Spain,2004,10,87.0,Rock,1,Spanish,0
Austria,2004,21,9.0,Pop,2,German,0
Norway,2004,24,3.0,Ballad,3,Norwegian,0
France,2004,15,40.0,Pop,4,French,0
Serbia & Montenegro,2004,2,263.0,Pop,5,Serbian,0
Malta,2004,12,50.0,Ballad,6,English,0
Netherlands,2004,20,11.0,Rock,7,Dutch,0
Germany,2004,8,93.0,Ballad,8,German,0
Albania,2004,7,106.0,Ballad,9,Albanian,0
Ukraine,2004,1,280.0,Dance-Pop,10,Ukrainian,0
Croatia,2004,12,50.0,Ballad,11,Croatian,0
Bosnia & Herzegovina,2004,9,91.0,Dance-Pop,12,Bosnian,0
Belgium,2004,22,7.0,Ballad,13,Mixed,0
Russia,2004,11,67.0,Ballad,14,Russian,0
North Macedonia,2004,14,47.0,Rock,15,Macedonian,0
Greece,2004,3,252.0,Rock,16,Greek,0
Iceland,2004,19,16.0,Ballad,17,Icelandic,0
Ireland,2004,22,7.0,Ballad,18,English,0
Poland,2004,17,27.0,Ballad,19,Polish,0
United Kingdom,2004,16,29.0,Ballad,20,English,0
Cyprus,2004,5,170.0,Rock,21,Greek,0
Turkey,2004,4,195.0,Ballad,22,Turkish,1
Romania,2004,18,18.0,Rock,23,Romanian,0
Sweden,2004,5,170.0,Rock,24,Swedish,0
Hungary,2005,12,97.0,Pop,1,Hungarian,0
United Kingdom,2005,22,18.0,Rock,2,English,0
Malta,2005,2,192.0,Rock,3,English,0
Romania,2005,3,158.0,Dance-Pop,4,Romanian,0
Norway,2005,9,125.0,Ballad,5,Norwegian,0
Turkey,2005,13,92.0,Pop,6,Turkish,0
Moldova,2005,6,148.0,Rock,7,Romanian,0
Albania,2005,16,53.0,Dance-Pop,8,Albanian,0
Cyprus,2005,18,46.0,Rock,9,Greek,0
Spain,2005,21,28.0,Pop,10,Spanish,0
Israel,2005,4,154.0,Ballad,11,Hebrew,0
Serbia & Montenegro,2005,7,137.0,Dance-Pop,12,Serbian,0
Denmark,2005,9,125.0,Ballad,13,Danish,0
Sweden,2005,19,30.0,Pop,14,Swedish,0
North Macedonia,2005,17,52.0,Dance-Pop,15,Macedonian,0
Ukraine,2005,19,30.0,Pop,16,Ukrainian,1
Germany,2005,24,4.0,Ballad,17,German,0
Croatia,2005,11,115.0,Ballad,18,Croatian,0
Greece,2005,1,230.0,Rock,19,Greek,0
Russia,2005,15,57.0,Ballad,20,Russian,0
Bosnia & Herzegovina,2005,14,79.0,Rock,21,Bosnian,0
Switzerland,2005,8,128.0,Ballad,22,Mixed,0
Latvia,2005,5,153.0,Ballad,23,Latvian,0
France,2005,23,11.0,Pop,24,French,0
Switzerland,2006,16,30.0,Rock,1,Mixed,0
Moldova,2006,20,22.0,Ballad,2,Romanian,0
Israel,2006,23,4.0,Ballad,3,Hebrew,0
Latvia,2006,16,30.0,Ballad,4,Latvian,0
Norway,2006,14,36.0,Pop,5,Norwegian,0
Spain,2006,21,18.0,Pop,6,Spanish,0
Malta,2006,24,1.0,Ballad,7,English,0
Germany,2006,14,36.0,Rock,8,German,0
Denmark,2006,18,26.0,Dance-Pop,9,Danish,0
Russia,2006,2,248.0,Ballad,10,Russian,0
North Macedonia,2006,12,56.0,Rock,11,Macedonian,0
Romania,2006,4,172.0,Dance-Pop,12,Romanian,0
Bosnia & Herzegovina,2006,3,229.0,Dance-Pop,13,Bosnian,0
Lithuania,2006,6,162.0,Pop,14,Lithuanian,0
United Kingdom,2006,19,25.0,Ballad,15,English,0
Greece,2006,9,128.0,Rock,16,Greek,1
Finland,2006,1,292.0,Rock/Metal,17,Finnish,0
Ukraine,2006,7,145.0,Rock,18,Ukrainian,0
France,2006,22,5.0,Rap/Hip-Hop,19,French,0
Croatia,2006,12,56.0,Rap/Hip-Hop,20,Croatian,0
Ireland,2006,10,93.0,Ballad,21,English,0
Sweden,2006,5,170.0,Rock,22,Swedish,0
Turkey,2006,11,91.0,Ballad,23,Turkish,0
Armenia,2006,8,129.0,Rock,24,Armenian,0
Bosnia & Herzegovina,2007,11,106.0,Dance-Pop,1,Bosnian,0
Spain,2007,20,43.0,Ballad,2,Spanish,0
Belarus,2007,6,145.0,Dance-Pop,3,Belarusian,0
Ireland,2007,24,5.0,Rock,4,English,0
Finland,2007,17,53.0,Ballad,5,Finnish,1
North Macedonia,2007,14,73.0,Folk/Ethnic,6,Macedonian,0
Slovenia,2007,15,66.0,Pop,7,Slovene,0
Hungary,2007,9,128.0,Ballad,8,Hungarian,0
Lithuania,2007,21,28.0,Ballad,9,Lithuanian,0
Greece,2007,7,139.0,Dance-Pop,10,Greek,0
Georgia,2007,12,97.0,Ballad,11,Georgian,0
Sweden,2007,18,51.0,Rock,12,Swedish,0
France,2007,22,19.0,Ballad,13,French,0
Latvia,2007,16,54.0,Pop,14,Latvian,0
Russia,2007,3,207.0,Pop,15,Russian,0
Germany,2007,19,49.0,Ballad,16,German,0
Serbia,2007,1,268.0,Pop,17,Serbian,0
Ukraine,2007,2,235.0,Dance-Pop,18,Ukrainian,0
United Kingdom,2007,22,19.0,Ballad,19,English,0
Romania,2007,13,84.0,Dance-Pop,20,Romanian,0
Bulgaria,2007,5,157.0,Pop,21,Unknown,0
Turkey,2007,4,163.0,Dance-Pop,22,Turkish,0
Armenia,2007,8,138.0,Dance-Pop,23,Armenian,0
Moldova,2007,10,109.0,Ballad,24,Romanian,0
Romania,2008,20,45.0,Pop,1,Romanian,0
United Kingdom,2008,25,14.0,Ballad,2,English,0
Albania,2008,17,55.0,Pop,3,Albanian,0
Germany,2008,23,14.0,Ballad,4,German,0
Armenia,2008,4,199.0,Ballad,5,Armenian,0
Bosnia & Herzegovina,2008,10,110.0,Pop,6,Bosnian,0
Israel,2008,9,124.0,Rock,7,Hebrew,0
Finland,2008,22,35.0,Pop,8,Finnish,0
Croatia,2008,21,44.0,Pop,9,Croatian,0
Poland,2008,24,14.0,Ballad,10,Polish,0
Iceland,2008,14,64.0,Rock,11,Icelandic,0
Turkey,2008,7,138.0,Pop,12,Turkish,0
Portugal,2008,13,69.0,Pop,13,Portuguese,0
Latvia,2008,12,83.0,Rock,14,Latvian,0
Sweden,2008,18,47.0,Ballad,15,Swedish,0
Denmark,2008,15,60.0,Dance-Pop,16,Danish,0
Georgia,2008,11,83.0,Dance-Pop,17,Georgian,0
